date	precipitation	temperature	discharge_spec
19701001	11.6	10.72	5.92
19701002	2.92	8.32	4.25
19701003	6.04	9.49	2.42
19701004	11.1	10.82	4.26
19701005	0.51	9.84	7.01
19701006	10.38	8.15	4.42
19701007	1.31	8.24	4.66
19701008	0.07	8.12	2.44
19701009	0.96	6.63	1.68
19701010	0.75	9.61	1.38
19701011	0.88	9.13	1.22
19701012	0.12	11.36	1.12
19701013	0.0	11.55	1.01
19701014	0.0	10.31	0.98
19701015	0.0	10.47	0.98
19701016	0.0	9.78	0.91
19701017	0.0	8.47	0.85
19701018	5.14	10.0	0.76
19701019	0.0	7.2	0.64
19701020	0.0	4.17	0.63
19701021	0.0	4.6	0.55
19701022	0.0	7.28	0.53
19701023	5.56	8.46	0.53
19701024	14.0	9.43	1.47
19701025	10.1	9.21	5.83
19701026	3.74	6.17	4.94
19701027	7.43	5.17	4.04
19701028	7.75	5.81	4.27
19701029	16.63	7.91	5.76
19701030	4.31	9.47	14.59
19701031	24.69	10.19	20.08
19701101	2.26	8.49	5.31
19701102	12.53	8.54	4.82
19701103	7.6	7.5	12.16
19701104	16.36	7.1	9.63
19701105	0.6	6.33	7.36
19701106	0.66	4.38	3.28
19701107	2.48	4.47	2.34
19701108	3.54	5.99	3.36
19701109	2.15	6.42	2.45
19701110	7.61	6.96	3.21
19701111	4.13	6.0	7.05
19701112	3.85	3.36	3.28
19701113	0.06	2.8	2.83
19701114	0.0	0.83	2.02
19701115	10.99	1.37	1.77
19701116	1.11	1.82	6.51
19701117	11.42	3.78	8.88
19701118	6.06	3.27	4.57
19701119	0.63	3.08	4.72
19701120	4.81	2.28	3.14
19701121	3.0	3.27	2.71
19701122	6.23	3.33	2.54
19701123	46.0	6.26	24.38
19701124	2.2	8.06	15.39
19701125	0.33	8.0	4.47
19701126	12.27	6.18	5.23
19701127	9.45	6.93	5.26
19701128	11.85	8.02	17.23
19701129	2.93	5.28	4.92
19701130	0.03	4.91	3.56
19701201	2.22	4.48	2.41
19701202	14.0	5.54	7.28
19701203	2.95	3.41	3.97
19701204	4.65	3.37	3.49
19701205	10.74	5.78	4.52
19701206	2.53	4.69	8.19
19701207	0.0	3.16	2.93
19701208	0.19	1.61	2.05
19701209	0.01	3.34	1.81
19701210	0.0	2.54	1.58
19701211	1.52	2.76	1.37
19701212	3.6	4.0	2.07
19701213	0.22	3.48	1.66
19701214	0.35	3.31	1.34
19701215	1.86	4.04	1.27
19701216	12.2	6.13	4.0
19701217	1.68	6.32	3.46
19701218	10.43	7.61	5.27
19701219	2.33	8.8	5.3
19701220	0.6	4.26	2.93
19701221	0.0	0.72	1.99
19701222	0.09	1.23	1.5
19701223	1.71	2.21	1.33
19701224	0.31	1.95	1.43
19701225	0.88	1.09	1.15
19701226	0.39	1.52	1.11
19701227	0.11	0.04	0.95
19701228	0.56	0.72	0.87
19701229	0.29	1.42	0.74
19701230	0.0	0.17	0.71
19701231	0.0	-1.37	0.94
19710101	0.03	-1.55	0.75
19710102	0.0	-0.74	0.92
19710103	0.0	-1.63	0.62
19710104	0.07	-2.44	0.54
19710105	0.04	-1.44	0.44
19710106	24.14	3.39	6.09
19710107	3.82	5.17	6.27
19710108	10.81	8.53	7.2
19710109	4.23	9.54	4.66
19710110	0.0	10.18	2.36
19710111	0.0	5.42	1.78
19710112	0.0	2.33	1.47
19710113	0.0	3.1	1.26
19710114	0.01	3.71	1.11
19710115	0.0	2.64	0.97
19710116	1.7	2.13	1.02
19710117	3.96	3.38	1.15
19710118	14.19	4.49	6.5
19710119	1.59	4.99	4.95
19710120	9.06	3.69	2.15
19710121	0.29	3.35	2.88
19710122	14.35	3.47	3.28
19710123	5.2	4.04	9.58
19710124	16.03	4.28	9.92
19710125	3.77	4.9	8.52
19710126	2.39	3.29	3.95
19710127	7.26	3.66	2.99
19710128	1.57	3.27	4.24
19710129	0.31	2.39	2.76
19710130	1.07	-0.01	2.22
19710131	0.01	-0.26	1.78
19710201	0.16	-0.32	1.25
19710202	1.98	2.57	1.18
19710203	0.0	4.85	1.37
19710204	0.0	6.59	1.16
19710205	0.0	3.23	0.87
19710206	0.11	3.9	0.82
19710207	0.66	5.6	0.8
19710208	1.45	5.21	0.76
19710209	0.37	5.51	1.12
19710210	2.49	5.26	0.94
19710211	27.2	4.27	9.87
19710212	29.62	5.3	21.96
19710213	19.27	3.19	10.59
19710214	23.5	2.45	24.39
19710215	0.0	1.41	7.67
19710216	4.55	-1.14	3.53
19710217	6.91	0.03	4.87
19710218	0.0	2.57	4.45
19710219	9.67	2.67	4.95
19710220	2.75	4.54	7.82
19710221	0.08	5.21	3.51
19710222	0.01	4.45	2.29
19710223	0.0	4.6	1.94
