date	precipitation	temperature	discharge_spec
19991101	15.42	8.76	8.49
19991102	4.89	6.11	4.04
19991103	3.48	10.04	3.25
19991104	52.57	9.83	14.64
19991105	15.12	6.84	25.91
19991106	0.04	4.51	8.86
19991107	4.01	6.2	5.85
19991108	0.04	7.98	4.2
19991109	0.02	3.63	3.23
19991110	0.07	3.33	2.63
19991111	0.0	5.25	2.22
19991112	0.0	5.71	1.93
19991113	0.04	5.96	1.69
19991114	0.13	6.2	1.52
19991115	3.79	4.9	1.41
19991116	0.0	2.53	1.37
19991117	0.0	1.28	1.28
19991118	0.0	1.2	1.17
19991119	0.14	1.63	1.08
19991120	0.02	0.56	0.99
19991121	0.4	2.0	0.95
19991122	2.18	5.1	0.94
19991123	12.69	8.12	0.95
19991124	5.35	7.61	4.1
19991125	4.43	7.26	1.86
19991126	12.51	7.19	5.36
19991127	56.02	5.06	17.36
19991128	36.13	8.04	43.35
19991129	10.65	2.53	11.04
19991130	11.17	8.02	10.72
19991201	7.57	4.47	7.12
19991202	34.28	2.75	12.41
19991203	3.0	1.92	13.31
19991204	5.72	0.13	6.27
19991205	20.19	1.05	9.28
19991206	14.77	8.02	16.91
19991207	7.75	3.49	7.97
19991208	33.21	4.55	16.69
19991209	5.97	3.67	13.22
19991210	2.56	1.47	7.01
19991211	9.89	1.89	7.7
19991212	2.99	1.46	5.4
19991213	0.11	-0.98	3.9
19991214	7.55	-0.68	3.17
19991215	0.2	0.61	2.58
19991216	22.22	3.26	8.23
19991217	0.5	3.3	7.68
19991218	0.42	-2.65	3.95
19991219	0.03	-4.02	2.93
19991220	6.77	-5.14	2.44
19991221	15.61	1.45	3.22
19991222	25.33	4.92	18.33
19991223	35.04	4.51	20.87
19991224	18.74	4.96	16.33
19991225	3.11	1.85	8.62
19991226	3.12	0.94	5.65
19991227	0.41	0.68	4.26
19991228	0.14	0.05	3.2
19991229	6.06	0.94	2.68
19991230	1.68	2.85	3.65
19991231	3.86	4.2	3.98
20000101	0.47	3.73	3.11
20000102	13.08	5.62	5.01
20000103	2.1	4.42	4.64
20000104	23.12	2.23	6.89
20000105	18.86	5.47	12.75
20000106	6.54	4.16	8.84
20000107	12.84	6.27	11.33
20000108	2.55	2.93	6.67
20000109	1.38	0.93	4.79
20000110	8.55	4.21	6.74
20000111	16.26	4.9	8.8
20000112	0.71	2.69	6.34
20000113	0.27	-0.22	4.39
20000114	0.0	0.81	3.36
20000115	0.05	-0.18	2.79
20000116	0.01	2.28	2.43
20000117	0.14	3.89	2.11
20000118	0.0	4.22	2.0
20000119	0.02	2.71	1.83
20000120	0.0	3.2	1.68
20000121	0.6	2.45	1.55
20000122	0.0	3.04	1.43
20000123	0.22	0.94	1.33
20000124	0.0	1.72	1.26
20000125	0.1	-0.02	1.18
20000126	0.69	1.17	1.14
20000127	7.09	3.34	1.14
20000128	17.67	5.21	4.3
20000129	2.81	5.66	4.34
20000130	18.29	5.47	7.53
20000131	33.56	5.8	11.96
20000201	3.96	5.95	13.66
20000202	1.93	4.04	6.15
20000203	8.25	4.76	4.81
20000204	2.27	8.67	6.47
20000205	4.51	7.35	4.97
20000206	8.01	6.17	5.68
20000207	11.04	4.57	8.04
20000208	11.36	3.73	5.9
20000209	23.38	4.71	10.39
20000210	4.23	3.45	11.13
20000211	12.49	4.93	8.13
20000212	6.47	1.48	6.87
20000213	3.69	1.72	5.39
20000214	4.39	2.33	5.68
20000215	7.92	1.76	5.25
20000216	7.23	-0.76	4.17
20000217	13.24	0.9	4.18
20000218	5.22	2.8	8.94
20000219	0.0	1.41	5.76
20000220	7.72	0.46	5.16
20000221	0.27	2.65	5.54
20000222	2.2	1.39	3.88
20000223	10.19	5.49	7.74
20000224	5.54	2.19	5.13
20000225	1.29	3.18	4.19
20000226	38.57	4.87	9.78
20000227	9.64	5.57	23.77
20000228	3.35	2.61	7.92
20000229	0.46	2.62	5.77
20000301	6.01	1.95	4.03
20000302	18.45	3.9	10.34
20000303	0.66	1.71	5.6
20000304	0.37	-0.16	4.08
20000305	7.53	2.75	4.4
20000306	13.58	8.25	7.57
20000307	6.98	8.93	8.91
20000308	17.94	10.11	13.07
20000309	1.37	7.44	8.12
20000310	1.77	7.28	5.81
20000311	0.03	6.6	4.26
20000312	0.7	5.72	3.46
20000313	1.32	7.94	3.0
20000314	0.42	4.11	2.48
20000315	0.24	5.57	2.18
20000316	0.01	7.36	1.91
20000317	0.01	6.75	1.72
20000318	0.03	4.45	1.54
20000319	0.11	6.54	1.43
20000320	0.0	7.78	1.31
20000321	0.43	6.1	1.23
20000322	0.0	3.63	1.15
20000323	20.97	3.29	3.51
20000324	5.1	5.22	2.59
20000325	1.89	3.38	2.14
20000326	0.38	3.25	1.65
20000327	0.33	3.06	1.45
20000328	0.0	2.58	1.34
20000329	0.04	3.67	1.22
20000330	0.71	4.12	1.18
20000331	1.75	4.24	1.17
20000401	0.67	3.9	1.1
20000402	2.53	2.19	1.1
20000403	0.45	0.2	1.01
20000404	0.0	0.79	0.94
20000405	0.0	2.4	0.87
20000406	0.1	3.56	0.83
20000407	0.81	4.36	0.8
20000408	0.15	6.14	0.8
20000409	0.13	4.45	0.76
20000410	1.65	4.3	0.75
20000411	5.68	2.58	0.91
20000412	12.61	3.09	1.39
20000413	3.62	2.87	2.04
20000414	0.14	2.68	1.32
20000415	0.41	1.76	1.08
20000416	0.38	3.26	0.96
20000417	6.37	2.16	1.09
20000418	0.27	4.79	1.03
20000419	11.53	6.2	1.41
20000420	11.88	9.29	2.55
