date	precipitation	temperature	discharge_spec
19961016	4.04	7.53	5.9
19961017	3.03	8.69	5.86
19961018	5.86	10.6	5.86
19961019	1.77	9.99	5.86
19961020	4.53	12.29	5.85
19961021	2.27	9.95	2.07
19961022	0.28	11.33	1.67
19961023	0.82	14.84	1.25
19961024	9.15	14.15	2.59
19961025	6.64	11.03	3.27
19961026	10.45	9.24	3.41
19961027	18.37	10.88	8.39
19961028	12.0	9.72	17.19
19961029	1.77	6.24	5.75
19961030	10.2	9.24	3.4
19961031	0.89	10.91	5.91
19961101	12.69	11.29	3.3
19961102	24.02	12.95	15.12
19961103	12.98	11.6	12.31
19961104	6.34	9.22	12.11
19961105	16.61	7.02	11.65
19961106	13.42	6.91	13.79
19961107	1.32	2.68	6.32
19961108	7.89	4.66	5.14
19961109	1.08	4.02	4.42
19961110	0.29	1.72	2.7
19961111	0.06	2.02	1.85
19961112	0.0	4.13	1.35
19961113	2.11	5.03	1.14
19961114	0.67	9.0	1.26
19961115	2.76	9.6	1.13
19961116	1.72	8.92	1.42
19961117	0.0	3.11	1.17
19961118	0.15	-1.29	0.91
19961119	1.44	0.12	0.86
19961120	0.19	1.94	0.77
19961121	2.21	2.21	0.71
19961122	3.31	1.17	1.2
19961123	1.28	1.61	1.1
19961124	17.55	1.27	5.29
19961125	0.08	3.67	5.67
19961126	0.0	-0.46	2.1
19961127	0.2	1.5	1.44
19961128	13.68	2.69	4.64
19961129	7.92	4.64	7.71
19961130	4.11	5.79	4.66
19961201	8.42	6.96	7.42
19961202	3.93	5.43	8.72
19961203	9.84	2.18	10.47
19961204	0.04	4.68	5.37
19961205	0.03	0.73	2.67
19961206	0.01	-0.34	1.93
19961207	8.6	5.06	5.28
19961208	1.6	8.58	9.15
19961209	0.41	7.84	5.59
19961210	0.0	5.88	4.26
19961211	0.0	4.28	3.57
19961212	0.15	3.13	3.14
19961213	1.6	-0.71	2.75
19961214	1.41	6.1	2.98
19961215	1.07	6.53	3.01
19961216	1.48	5.58	3.13
19961217	9.53	2.8	3.45
19961218	24.5	5.41	24.76
19961219	0.22	3.53	14.04
19961220	0.0	3.14	5.21
19961221	0.0	1.22	2.74
19961222	0.0	0.02	1.77
19961223	0.02	1.06	1.12
19961224	0.0	-0.38	0.87
19961225	0.0	-0.68	0.78
19961226	4.66	2.67	1.34
19961227	0.0	1.47	1.68
19961228	0.0	0.71	0.99
19961229	0.68	0.68	0.88
19961230	0.66	1.99	0.78
19961231	1.48	-0.11	0.7
19970101	0.67	-1.24	0.63
19970102	0.67	0.71	0.63
19970103	0.41	0.65	0.61
19970104	0.13	-0.74	0.59
19970105	0.34	0.0	0.54
19970106	0.0	0.61	0.54
19970107	0.0	-0.66	0.58
19970108	0.0	-0.38	0.56
19970109	0.0	0.72	0.52
19970110	2.16	0.95	0.52
19970111	11.1	4.07	0.98
19970112	0.94	10.0	1.85
19970113	1.26	9.59	2.14
19970114	0.08	8.59	1.56
19970115	0.0	6.92	1.26
19970116	0.75	4.21	1.05
19970117	8.84	5.48	3.01
19970118	5.92	5.67	4.13
19970119	0.22	4.07	2.33
19970120	0.02	0.62	1.5
19970121	0.04	1.75	1.2
