date	precipitation	temperature	discharge_spec
19760901	0.01	13.78	0.27
19760902	0.0	10.03	0.14
19760903	0.0	10.39	0.1
19760904	0.0	13.15	0.1
19760905	0.36	11.96	0.1
19760906	0.33	13.39	0.09
19760907	0.27	13.18	0.13
19760908	23.98	12.41	0.63
19760909	0.52	7.83	0.42
19760910	5.66	7.19	0.23
19760911	0.06	8.09	0.21
19760912	0.83	8.99	0.17
19760913	6.95	8.34	0.17
19760914	0.22	9.55	0.24
19760915	0.0	8.54	0.18
19760916	0.03	8.06	0.18
19760917	0.0	10.3	0.16
19760918	0.0	11.32	0.14
19760919	0.36	12.32	0.13
19760920	0.84	14.27	0.14
19760921	20.42	13.56	0.85
19760922	1.02	12.09	0.84
19760923	0.0	12.76	0.43
19760924	0.0	12.67	0.3
19760925	12.37	12.13	0.3
19760926	0.13	13.72	1.07
19760927	11.65	11.71	0.8
19760928	6.11	12.76	3.32
19760929	5.15	12.74	2.45
19760930	3.41	13.03	1.2
19761001	1.08	12.38	0.88
19761002	2.07	11.73	0.74
19761003	9.31	11.69	2.7
19761004	0.0	7.76	1.14
19761005	13.14	7.43	2.15
19761006	3.15	9.26	2.51
19761007	2.85	9.8	1.4
19761008	0.14	9.79	0.97
19761009	1.03	9.22	0.7
19761010	7.72	10.98	0.54
19761011	7.93	12.57	2.57
19761012	1.01	10.38	2.16
19761013	3.49	6.69	1.19
19761014	20.02	6.88	6.5
19761015	0.58	8.4	5.88
19761016	0.38	8.77	1.79
19761017	3.04	7.72	1.13
19761018	0.47	8.92	1.11
19761019	0.0	8.29	0.78
19761020	9.48	9.06	1.14
19761021	1.95	8.81	2.9
19761022	4.0	7.42	1.59
19761023	11.5	8.57	5.51
19761024	1.39	7.5	3.31
19761025	5.69	5.97	2.75
19761026	0.07	6.07	2.02
19761027	0.13	6.86	1.2
19761028	0.58	7.94	1.03
19761029	1.7	7.59	0.78
19761030	0.0	6.53	0.69
19761031	5.35	4.26	0.64
19761101	6.61	6.7	2.34
19761102	4.29	4.4	4.58
19761103	6.53	4.93	3.23
19761104	8.12	6.35	5.2
19761105	6.18	6.05	4.53
19761106	9.8	5.22	6.74
19761107	3.39	5.91	4.03
19761108	3.46	6.33	2.47
19761109	0.71	5.09	1.79
19761110	2.16	3.56	1.28
