date	precipitation	temperature	discharge_spec
19701001	21.17	10.77	8.12
19701002	1.05	8.27	6.1
19701003	5.34	9.6	2.27
19701004	13.54	10.76	4.06
19701005	9.01	9.66	7.99
19701006	10.9	8.32	10.38
19701007	2.05	8.57	4.43
19701008	0.0	8.59	2.25
19701009	0.45	7.12	1.52
19701010	0.0	10.36	1.17
19701011	0.22	9.64	0.98
19701012	0.0	11.72	0.88
19701013	0.0	12.02	0.77
19701014	0.0	10.94	0.68
19701015	0.0	11.03	0.62
19701016	0.0	10.36	0.57
19701017	0.52	9.2	0.51
19701018	14.94	10.48	1.74
19701019	0.03	7.3	2.62
19701020	0.0	4.39	1.13
19701021	0.0	4.88	0.79
19701022	0.0	7.59	0.66
19701023	5.98	8.94	0.82
19701024	8.97	9.65	2.56
19701025	4.75	8.87	3.01
19701026	3.01	6.1	3.07
19701027	2.73	5.02	2.48
19701028	10.46	5.68	4.09
19701029	23.55	7.53	10.67
19701030	4.2	9.04	11.65
19701031	33.87	10.08	26.03
19701101	3.57	8.44	6.25
19701102	19.61	8.42	7.95
19701103	8.2	7.52	16.81
19701104	13.34	7.2	8.24
19701105	0.65	6.44	5.68
19701106	0.13	4.38	2.9
19701107	1.82	4.72	2.05
19701108	6.74	6.48	3.52
19701109	0.22	6.57	2.27
19701110	10.27	7.08	2.18
19701111	6.68	5.96	5.08
19701112	16.36	3.3	6.5
19701113	6.76	2.94	11.16
19701114	0.03	1.15	4.07
19701115	6.79	1.81	2.39
19701116	3.59	2.21	5.94
19701117	3.85	4.17	5.33
19701118	2.17	3.43	3.02
19701119	0.78	3.25	2.42
19701120	3.46	2.61	2.34
19701121	1.09	3.59	2.29
19701122	1.52	3.71	1.88
19701123	28.96	6.21	12.52
19701124	0.61	7.96	8.32
19701125	1.86	7.96	3.31
19701126	12.78	6.53	4.72
19701127	5.43	7.16	6.81
19701128	1.91	8.34	5.98
19701129	3.46	5.75	2.92
19701130	0.19	5.17	3.19
19701201	3.1	4.68	2.22
19701202	19.84	5.61	11.61
19701203	1.63	3.28	4.58
19701204	3.89	3.43	2.97
19701205	5.25	6.11	2.91
19701206	3.22	4.98	4.66
19701207	0.1	3.57	2.32
19701208	0.0	2.29	1.74
19701209	0.0	4.63	1.5
19701210	0.0	3.53	1.25
19701211	0.12	3.12	1.08
19701212	2.87	4.3	1.16
19701213	0.07	4.0	1.11
19701214	0.09	4.15	1.0
19701215	0.25	4.85	0.91
19701216	13.99	6.71	3.25
19701217	2.2	6.81	3.99
19701218	7.76	8.04	5.56
