date	precipitation	temperature	discharge_spec
19701001	18.82	10.03	3.77
19701002	2.43	7.59	5.82
19701003	4.35	8.85	2.63
19701004	7.92	10.13	2.52
19701005	0.6	9.11	3.76
19701006	6.83	7.57	2.62
19701007	1.1	7.75	3.05
19701008	0.02	7.65	2.27
19701009	0.3	6.15	1.81
19701010	0.05	9.34	1.62
19701011	0.31	8.62	1.47
19701012	0.03	10.81	1.35
19701013	0.0	11.05	1.25
19701014	0.0	9.77	1.17
19701015	0.0	9.99	1.09
19701016	0.0	9.38	1.04
19701017	0.1	8.12	0.98
19701018	7.82	9.59	0.97
19701019	0.08	6.53	1.23
19701020	0.0	3.56	1.04
19701021	0.0	4.05	0.93
19701022	0.01	6.76	0.86
19701023	7.56	7.97	0.87
19701024	11.82	8.84	2.39
19701025	5.1	8.37	3.24
19701026	2.31	5.39	2.64
19701027	4.33	4.3	2.1
19701028	7.92	4.93	2.6
19701029	18.05	6.96	4.07
19701030	4.1	8.54	7.89
19701031	24.73	9.41	12.71
19701101	1.82	7.77	7.67
19701102	12.62	7.74	4.15
19701103	7.39	6.78	8.74
19701104	13.92	6.39	6.22
19701105	0.49	5.64	7.27
19701106	0.04	3.67	4.06
19701107	1.92	3.86	3.05
19701108	3.92	5.54	3.01
19701109	0.2	5.78	2.8
19701110	9.79	6.25	2.26
19701111	4.82	5.23	4.47
19701112	12.2	2.6	3.86
19701113	4.85	2.15	5.33
19701114	0.07	0.23	3.56
19701115	6.51	0.8	2.52
19701116	1.33	1.21	4.38
19701117	5.53	3.21	4.4
19701118	5.26	2.66	4.03
19701119	0.55	2.41	3.35
19701120	6.8	1.71	3.05
19701121	1.89	2.63	3.78
19701122	2.43	2.78	2.93
19701123	26.7	5.51	7.56
19701124	3.27	7.32	10.86
19701125	0.59	7.23	5.29
19701126	10.14	5.62	3.77
19701127	5.41	6.31	5.93
19701128	6.03	7.39	6.41
19701129	3.55	4.77	5.09
19701130	0.16	4.3	4.21
19701201	2.88	3.83	3.37
19701202	14.97	4.81	5.79
19701203	0.9	2.55	6.69
19701204	5.13	2.63	3.83
19701205	9.58	5.21	4.22
19701206	3.23	4.09	6.41
19701207	0.0	2.57	3.96
19701208	0.04	1.21	3.06
19701209	0.01	3.22	2.74
19701210	0.01	2.27	2.47
19701211	1.15	2.15	2.25
19701212	2.54	3.35	2.16
19701213	0.06	2.96	2.11
19701214	0.03	2.98	1.85
19701215	0.65	3.65	1.74
19701216	8.27	5.71	1.65
19701217	2.18	5.82	2.43
19701218	3.21	7.12	2.16
19701219	3.19	8.3	2.25
19701220	0.09	3.58	2.36
19701221	0.0	0.08	1.97
19701222	0.06	0.82	1.81
19701223	2.98	1.66	1.75
19701224	2.53	1.71	2.08
19701225	2.47	0.73	2.03
19701226	0.6	1.2	2.04
19701227	0.48	-0.29	1.74
19701228	2.48	0.25	1.46
19701229	2.1	0.86	1.43
19701230	0.0	-0.42	1.42
19701231	0.0	-1.85	1.48
19710101	0.2	-2.01	1.56
19710102	0.01	-1.24	1.22
19710103	0.0	-1.96	0.97
19710104	0.0	-2.67	1.08
19710105	0.53	-1.64	0.97
19710106	12.68	3.02	1.36
19710107	1.7	4.73	5.39
19710108	7.38	7.97	2.86
19710109	4.41	9.0	4.64
19710110	0.01	9.64	3.16
19710111	0.0	5.29	2.25
19710112	0.0	1.98	1.91
19710113	0.15	2.59	1.7
19710114	0.06	3.34	1.57
19710115	0.08	2.23	1.46
19710116	1.39	1.64	1.38
19710117	2.97	2.95	1.28
19710118	8.94	4.04	1.42
19710119	2.18	4.45	2.74
19710120	8.03	3.12	1.83
19710121	0.36	2.73	2.56
19710122	8.36	2.87	1.93
19710123	6.15	3.5	3.67
19710124	12.21	3.6	3.77
19710125	4.7	4.24	6.81
19710126	0.87	2.75	3.72
19710127	4.57	3.06	2.82
19710128	6.42	2.72	3.54
