date	precipitation	temperature	discharge_spec
19980518	0.0	12.64	0.32
19980519	0.2	12.93	0.29
19980520	0.56	11.31	0.31
19980521	0.0	10.91	0.27
19980522	0.0	10.36	0.25
19980523	0.0	11.7	0.24
19980524	0.0	11.66	0.22
19980525	0.05	10.47	0.22
19980526	0.24	8.34	0.21
19980527	2.35	7.87	0.26
19980528	4.11	9.31	0.26
19980529	8.46	10.46	0.55
19980530	4.25	9.87	0.38
19980531	5.8	9.03	1.25
19980601	0.12	8.73	0.35
19980602	0.0	7.68	0.32
19980603	0.0	7.94	0.27
19980604	0.0	9.88	0.25
19980605	1.83	11.88	0.21
19980606	6.87	10.9	0.59
19980607	0.56	11.55	0.35
19980608	15.42	9.93	0.98
19980609	16.73	11.26	4.5
19980610	2.9	9.49	2.55
19980611	3.26	7.67	1.11
19980612	0.1	8.18	0.65
19980613	0.0	9.79	0.46
19980614	1.46	10.25	0.36
19980615	19.73	9.08	2.84
19980616	5.96	10.43	3.3
19980617	0.3	10.81	1.14
19980618	2.87	11.98	0.73
19980619	0.0	14.01	0.58
19980620	0.24	16.3	0.43
19980621	3.47	15.54	0.37
19980622	12.1	12.7	0.46
19980623	9.1	14.54	1.44
19980624	0.62	14.21	1.83
19980625	1.31	13.15	0.73
19980626	12.49	11.83	1.86
19980627	7.02	11.89	3.68
19980628	0.92	12.54	1.37
19980629	1.05	12.31	0.96
19980630	0.0	12.59	0.72
19980701	0.0	13.15	0.53
19980702	0.0	13.17	0.43
19980703	0.03	13.12	0.36
19980704	0.5	13.92	0.32
19980705	0.0	13.52	0.32
19980706	0.0	12.2	0.29
19980707	1.02	12.1	0.26
19980708	6.24	13.06	0.36
19980709	0.08	13.36	0.33
19980710	6.66	12.19	0.44
19980711	6.17	12.29	0.39
19980712	25.41	10.25	6.74
19980713	0.35	11.15	1.78
19980714	0.97	12.09	0.83
19980715	1.04	11.92	0.64
19980716	15.05	13.05	1.23
19980717	8.88	12.06	2.39
19980718	2.13	12.34	2.49
19980719	29.88	12.05	12.5
19980720	0.79	15.77	3.97
19980721	12.59	13.55	4.5
19980722	13.64	13.24	4.61
19980723	1.61	12.66	5.11
19980724	1.76	12.01	2.05
19980725	3.48	12.01	1.24
19980726	7.31	12.79	1.54
19980727	0.5	13.77	1.84
19980728	7.65	13.76	1.24
19980729	4.2	12.89	2.34
19980730	3.94	13.34	6.4
19980731	0.05	13.65	1.97
19980801	0.16	13.23	1.07
19980802	18.77	12.92	1.14
19980803	5.34	13.65	7.52
19980804	2.83	13.72	2.42
19980805	9.77	14.06	2.21
19980806	1.78	14.69	4.11
19980807	25.6	13.71	11.67
19980808	0.69	15.55	6.44
19980809	0.07	16.21	2.41
19980810	0.0	16.81	1.4
19980811	2.58	15.04	1.1
19980812	0.89	13.72	0.97
19980813	7.02	12.86	1.04
19980814	6.26	14.01	3.59
19980815	1.4	12.77	1.49
19980816	19.27	13.75	7.58
19980817	0.16	13.83	5.02
19980818	0.03	11.73	1.92
19980819	10.73	13.13	1.46
19980820	15.96	12.86	10.98
19980821	0.45	12.31	3.87
19980822	0.02	11.82	1.76
19980823	7.46	10.84	2.15
19980824	0.1	10.72	1.48
19980825	1.56	10.61	1.1
19980826	0.4	10.6	0.89
19980827	0.1	10.38	0.73
19980828	0.0	12.35	0.63
19980829	0.0	13.11	0.54
19980830	0.0	13.3	0.49
19980831	12.98	14.46	0.6
19980901	13.59	13.63	4.03
19980902	0.61	14.32	2.15
19980903	0.0	13.32	1.04
19980904	0.03	12.42	0.79
19980905	3.56	13.59	0.86
19980906	0.76	14.49	0.65
19980907	12.35	16.64	0.9
19980908	10.82	14.68	5.37
19980909	3.48	14.28	3.63
19980910	2.59	12.85	1.85
19980911	6.98	9.72	1.38
19980912	0.5	7.29	1.79
19980913	0.0	8.3	0.97
19980914	0.0	10.35	0.74
19980915	0.23	9.33	0.64
19980916	0.19	9.86	0.55
19980917	8.13	10.67	0.56
19980918	0.03	13.44	1.04
19980919	0.02	13.49	0.59
19980920	0.0	15.45	0.48
19980921	0.0	14.82	0.44
19980922	0.07	12.95	0.41
19980923	0.0	11.6	0.38
19980924	0.0	11.19	0.36
19980925	0.0	10.87	0.34
19980926	2.52	11.66	0.35
19980927	5.01	12.07	0.46
19980928	0.14	11.34	0.47
19980929	0.15	10.62	0.37
19980930	2.86	11.84	0.4
19981001	0.09	12.08	0.4
19981002	0.0	9.97	0.33
19981003	0.88	8.81	0.3
19981004	1.19	8.19	0.32
19981005	0.55	8.51	0.34
19981006	0.08	8.74	0.3
19981007	0.0	6.56	0.28
19981008	10.4	6.19	0.26
19981009	8.65	11.26	3.12
19981010	4.78	9.03	1.13
19981011	4.31	8.25	1.49
19981012	7.31	8.98	1.18
19981013	6.91	10.28	4.29
19981014	7.48	8.41	2.81
19981015	11.55	6.81	2.05
19981016	26.28	7.35	19.17
19981017	7.06	5.16	7.33
19981018	8.36	4.13	5.55
19981019	5.34	4.01	3.79
19981020	51.64	3.9	28.48
19981021	14.38	12.46	20.38
19981022	13.65	12.38	10.62
19981023	5.79	8.03	5.45
19981024	15.08	7.76	13.7
19981025	2.08	6.15	3.97
19981026	22.47	5.3	7.5
19981027	13.69	7.18	11.97
19981028	9.03	6.09	11.05
19981029	3.32	5.28	4.88
19981030	1.07	4.87	3.09
19981031	0.07	3.74	2.2
19981101	0.11	2.98	1.46
19981102	23.83	1.72	12.7
