date	precipitation	temperature	discharge_spec
19980502	2.71	6.59	1.8
19980503	0.26	6.94	1.71
19980504	1.42	8.69	1.64
19980505	3.01	5.7	1.62
19980506	2.68	5.84	1.56
19980507	0.05	7.48	1.48
19980508	0.0	7.88	1.38
19980509	0.0	9.45	1.34
19980510	0.12	9.06	1.28
19980511	0.15	7.56	1.24
19980512	0.08	9.18	1.21
19980513	0.0	11.26	1.18
19980514	0.51	10.69	1.15
19980515	0.01	10.22	1.14
19980516	0.0	10.71	1.11
19980517	0.0	10.49	1.07
19980518	0.0	10.92	1.05
19980519	3.73	10.29	1.04
19980520	1.41	7.71	1.07
19980521	0.51	8.29	1.02
19980522	0.48	8.66	1.01
19980523	0.55	10.91	0.99
19980524	0.24	11.23	0.96
19980525	7.84	9.2	0.99
19980526	9.41	6.48	1.06
19980527	5.28	7.17	1.29
19980528	0.89	7.95	1.15
19980529	0.73	7.99	1.02
19980530	0.48	7.48	0.97
19980531	4.72	6.58	0.96
19980601	7.72	5.51	1.17
19980602	2.32	6.04	1.2
19980603	0.34	6.17	0.99
19980604	2.76	7.44	0.98
19980605	0.01	9.15	0.93
19980606	6.82	8.56	0.94
19980607	8.23	10.39	1.42
19980608	8.19	7.9	1.6
19980609	13.17	9.24	3.65
19980610	2.01	7.45	2.21
19980611	0.76	6.2	1.45
19980612	3.92	7.01	1.26
19980613	0.08	7.42	1.16
19980614	5.31	7.84	1.08
19980615	1.94	7.68	1.21
19980616	0.67	8.86	1.1
19980617	0.11	9.48	1.03
19980618	0.03	9.06	0.99
19980619	0.36	11.15	0.97
19980620	0.02	14.35	0.94
19980621	0.0	15.56	0.92
19980622	4.68	12.16	0.9
19980623	0.3	13.53	0.93
19980624	0.08	13.49	0.89
19980625	13.09	12.38	1.27
19980626	7.47	11.31	1.31
19980627	3.88	10.96	1.25
19980628	0.85	12.07	1.1
19980629	8.74	11.36	1.02
19980630	1.41	11.2	1.17
19980701	0.53	10.5	1.07
19980702	0.05	10.61	1.0
19980703	0.14	12.57	0.93
19980704	1.89	13.38	0.91
19980705	2.08	12.72	0.89
19980706	1.84	9.97	0.87
19980707	0.01	10.94	0.86
19980708	1.83	12.34	0.84
19980709	0.0	12.22	0.82
19980710	7.58	11.19	0.87
19980711	2.49	11.28	0.88
19980712	23.87	8.37	1.31
19980713	18.6	9.54	5.9
19980714	0.02	10.68	2.79
19980715	2.8	10.38	1.59
19980716	7.84	11.59	1.41
19980717	5.14	11.1	1.67
19980718	3.5	10.71	1.67
19980719	8.24	10.31	1.92
19980720	5.57	14.24	1.89
19980721	3.26	12.91	2.51
19980722	2.26	12.75	1.74
19980723	0.65	11.19	1.63
19980724	2.25	10.82	1.54
19980725	0.73	10.97	1.47
19980726	2.18	11.71	1.44
19980727	2.09	12.57	1.39
19980728	10.66	12.55	1.73
19980729	13.35	11.51	3.09
19980730	4.34	11.68	2.71
19980731	0.71	12.17	2.07
19980801	0.24	10.55	1.74
19980802	10.33	11.98	1.62
19980803	5.56	12.57	2.53
19980804	0.43	13.1	1.82
19980805	6.15	13.48	1.68
19980806	1.69	14.46	1.76
19980807	4.02	12.3	1.65
19980808	0.16	13.03	1.63
19980809	0.0	12.95	1.5
19980810	0.22	14.27	1.43
19980811	1.57	13.46	1.4
19980812	14.26	13.3	2.04
19980813	0.3	12.42	1.66
19980814	1.11	13.39	1.46
19980815	0.82	11.79	1.34
19980816	0.97	12.45	1.3
19980817	0.62	13.0	1.24
19980818	0.03	10.95	1.19
19980819	0.05	12.32	1.17
19980820	3.27	12.24	1.16
19980821	6.86	10.92	1.21
19980822	2.78	10.04	1.17
19980823	3.52	8.41	1.16
19980824	0.08	9.15	1.15
19980825	0.01	8.24	1.07
19980826	0.23	8.6	1.03
19980827	0.48	9.18	1.02
19980828	1.04	11.14	1.01
19980829	1.36	12.74	0.99
19980830	0.04	12.09	0.97
19980831	6.74	11.98	0.95
19980901	18.0	11.74	4.18
19980902	4.38	12.22	2.32
19980903	6.73	11.3	2.62
19980904	0.2	11.16	1.82
19980905	0.01	11.86	1.49
19980906	0.58	11.79	1.35
19980907	0.54	14.08	1.33
19980908	2.09	13.59	1.29
19980909	6.84	13.1	1.42
19980910	7.51	12.61	1.55
19980911	0.6	9.18	1.69
19980912	6.07	6.25	1.52
19980913	0.32	8.0	1.42
19980914	0.77	10.12	1.32
19980915	4.77	8.76	1.3
19980916	13.69	9.48	1.82
19980917	4.63	8.95	2.08
19980918	0.01	12.17	1.71
19980919	0.0	12.47	1.47
19980920	0.0	14.24	1.38
19980921	0.0	14.31	1.33
19980922	0.08	10.25	1.31
19980923	0.0	9.82	1.28
19980924	0.01	9.77	1.26
19980925	1.68	9.54	1.25
19980926	0.42	9.97	1.26
19980927	1.0	10.55	1.22
19980928	10.25	10.43	1.47
19980929	1.16	9.84	1.4
19980930	18.07	10.52	2.3
19981001	6.54	10.02	4.58
19981002	0.51	9.26	2.42
19981003	1.22	8.1	1.8
19981004	0.76	7.25	1.64
19981005	0.07	7.81	1.54
19981006	0.17	8.15	1.47
19981007	0.08	6.03	1.42
19981008	0.03	5.96	1.38
19981009	5.1	10.74	1.39
19981010	2.58	7.66	1.37
19981011	9.0	6.3	1.47
19981012	1.66	7.76	1.62
19981013	0.5	7.97	1.43
19981014	2.73	6.23	1.35
19981015	1.22	4.62	1.31
19981016	37.37	4.14	7.25
19981017	1.74	3.54	5.9
19981018	0.29	2.98	2.67
